ALL_Acidovorax_carolinensis_strain_NA2_NZ_CP021359,Acidovorax_carolinensis_strain_NA2_NZ_CP021359,ALL_Acidovorax_carolinensis_strain_P3_NZ_CP021362,Acidovorax_carolinensis_strain_P3_NZ_CP021362,ALL_Acidovorax_carolinensis_strain_P4_NZ_CP021366,Acidovorax_carolinensis_strain_P4_NZ_CP021366,ALL_Acidovorax_citrulli_strain_M6_NZ_CP029373,Acidovorax_citrulli_strain_M6_NZ_CP029373,ALL_Acidovorax_sp_JS42_NC_008782,Acidovorax_sp_JS42_NC_008782,ALL_Acidovorax_sp_T1_NZ_CP021648,Acidovorax_sp_T1_NZ_CP021648,Acidovorax_avenae_subsp_avenae_ATCC_19860_NC_015138,Acidovorax_avenae_subsp_avenae_NZ_CP028302,Acidovorax_avenae_subsp_avenae_strain_AA78_5_NZ_CP028287,Acidovorax_avenae_subsp_avenae_strain_AA81_1_NZ_CP028288,Acidovorax_avenae_subsp_avenae_strain_AA99_2_NZ_CP028289,Acidovorax_avenae_subsp_avenae_strain_COLB1_CP028291,Acidovorax_avenae_subsp_avenae_strain_INDB2_CP028292,Acidovorax_avenae_subsp_avenae_strain_INV_CP028293,Acidovorax_avenae_subsp_avenae_strain_KL3_NZ_CP028294,Acidovorax_avenae_subsp_avenae_strain_MD5_NZ_CP028295,Acidovorax_avenae_subsp_avenae_strain_MDB1_CP028296,Acidovorax_avenae_subsp_avenae_strain_MOR_CP028297,Acidovorax_avenae_subsp_avenae_strain_NCT3_CP028298,Acidovorax_avenae_subsp_avenae_strain_QH1_CP028299,Acidovorax_avenae_subsp_avenae_strain_QHB1_CP028300,Acidovorax_avenae_subsp_avenae_strain_SH7_NZ_CP028303,Acidovorax_avenae_subsp_avenae_strain_Sa2_CP028301,Acidovorax_carolinensis_strain_NA3_chromosome_1_NZ_CP021361,Acidovorax_cattleyae_strain_CAT98_1_NZ_CP028290,Acidovorax_citrulli_AAC00_1_NC_008752,Acidovorax_citrulli_strain_KACC17005_NZ_CP023687,Acidovorax_ebreus_TPSY_NC_011992,Acidovorax_sp_1608163_NZ_CP033069,Acidovorax_sp_HDW3_NZ_CP049885,Acidovorax_sp_KKS102_NC_018708,Acidovorax_sp_RAC01_NZ_CP016447
,,,,,,,,AJS_RS00215,AJS_RS00215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AJS_RS00980,AJS_RS00980,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AJS_RS00985,AJS_RS00985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AJS_RS00990,AJS_RS00990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AJS_RS00995,AJS_RS00995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AJS_RS01090,AJS_RS01090,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ACAV_RS00075,C8244_RS00070,,,C8247_RS00055,C8234_00060,C8237_00070,C8239_00005,,C8246_RS15525,,C8236_00055,,C8248_00050,,C7Y68_RS00050,,,,,,,EAG14_RS18295,,C380_RS03575,
,,,,,,,,,,,,ACAV_RS00085,C8244_RS00080,,,C8247_RS00065,C8234_00070,C8237_00080,C8239_00015,,C8246_RS15515,,C8236_00065,,C8248_00060,,C7Y68_RS00060,,,,,,,EAG14_RS18315,,C380_RS03555,
,,,,,,,,,,,,ACAV_RS00090,C8244_RS00085,,,C8247_RS00070,C8234_00075,C8237_00085,C8239_00020,,C8246_RS15510,,C8236_00070,,C8248_00065,,C7Y68_RS00065,,,,,,,EAG14_RS18320,,C380_RS03550,
,,,,,,,,,,,,ACAV_RS00095,C8244_RS00090,,,C8247_RS00075,C8234_00080,C8237_00090,C8239_00025,,C8246_RS15505,,C8236_00075,,C8248_00070,,C7Y68_RS00070,,,,,,,EAG14_RS18325,,C380_RS03545,
